@relation flood
@attribute rain_status {havy_rain,normal_rain,no_rain}

@attribute month {april,june,august}
@attribute dam_status {gojoldoba_open, tipayamuk_open, farakka_open, close}



@attribute river_danger_level real

@attribute sea_level {high,normal}

@attribute slope {Uproot,hill,no}

@attribute mountain_hill_throat {yes,no}



@attribute division_at_risk {rangpur_at_risk,dhaka_at_risk,shylhet_at_risk,rajshahi_at_risk,barisal_at_risk,khulna_at_risk,mymnsign_at_risk,chattagram_at_risk}

@data



havy_rain,june,close,53.05,normal,no,no,rangpur_at_risk
havy_rain,june,close,18.28,normal,no,no,rajshahi_at_risk
havy_rain,june,close,19.07,normal,no,no,rajshahi_at_risk
havy_rain,june,close,19.82,normal,no,no,rangpur_at_risk
havy_rain,june,close,25.07,normal,no,no,rangpur_at_risk
havy_rain,june,close,10.76,normal,no,no,dhaka_at_risk
havy_rain,june,close,18.10,normal,no,no,rajshahi_at_risk
havy_rain,june,close,18.28,normal,no,no,rajshahi_at_risk
havy_rain,june,close,7.58,normal,no,no,dhaka_at_risk
havy_rain,june,close,7.58,normal,no,no,dhaka_at_risk
havy_rain,june,close,8.35,normal,no,no,dhaka_at_risk
havy_rain,june,close,7.90,normal,no,no,dhaka_at_risk
havy_rain,june,close,12.55,normal,no,no,chattagram_at_risk
havy_rain,june,close,12.22,normal,no,no,khulna_at_risk
havy_rain,june,close,4.84,normal,no,no,barisal_at_risk
havy_rain,june,close,23,normal,no,no,chattagram_at_risk
havy_rain,june,close,18.28,normal,no,no,chattagram_at_risk
havy_rain,june,close,16.23,normal,no,no,chattagram_at_risk
havy_rain,june,close,19.36,normal,no,no,chattagram_at_risk
havy_rain,june,close,7.03,normal,no,no,chattagram_at_risk
havy_rain,june,close,12.32,normal,no,no,khulna_at_risk
havy_rain,june,close,15.90,normal,no,no,khulna_at_risk
havy_rain,june,close,12.22,normal,no,no,khulna_at_risk
havy_rain,june,close,4.97,normal,no,no,barisal_at_risk
havy_rain,june,close,4.97,normal,no,no,barisal_at_risk
havy_rain,june,close,8.72,normal,no,no,shylhet_at_risk
no_rain,april,close,13.71,normal,no,yes,mymnsign_at_risk
no_rain,june,close,33.61,normal,Uproot,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,27.04,normal,no,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,33.42,normal,no,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,22.43,normal,no,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,20.39,normal,no,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,24.34,normal,no,no,rangpur_at_risk
normal_rain,august,gojoldoba_open,20.71,normal,no,no,mymnsign_at_risk
normal_rain,august,gojoldoba_open,17.92,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,14.89,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,10.12,normal,no,no,dhaka_at_risk
normal_rain,august,gojoldoba_open,13.14,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,11.39,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,12.47,normal,no,no,dhaka_at_risk
normal_rain,august,gojoldoba_open,6.26,normal,no,no,khulna_at_risk
